frequency,L1,H1,H1_smoothed
0.0,2.383527639328358e-18,2.2156857699760603e-20,3.2400000000075617e-18
0.25,1.6856167341990812e-18,2.0139587539917907e-20,2.644897960109986e-19
0.5,1.2429680038887754e-21,5.518498005010117e-21,9.000000027222279e-20
0.75,6.677795505195839e-22,2.5461201288201735e-21,4.484429120377683e-20
1.0,6.800319872391204e-22,3.339453809331187e-21,2.6776860419108824e-20
1.25,6.707395077766979e-22,2.6982501966336126e-21,1.77777791559203e-20
1.5,3.191167075102161e-22,9.376805502727678e-22,1.2656251935837876e-20
1.75,1.2917369965920308e-21,1.4469447456551215e-21,9.466766649424546e-21
2.0,1.5168875862694673e-21,2.1959554826693924e-21,7.346942110340558e-21
2.25,1.2215699226932375e-21,1.8670982480341493e-21,5.866912279349722e-21
2.5,1.0803565145040268e-21,2.7583978871088035e-21,4.7929045202704944e-21
2.75,1.2634434315834801e-21,3.3218743704358985e-21,3.988925809978363e-21
3.0,1.5565227923541166e-21,2.79368677378309e-21,3.3714953006456916e-21
3.25,1.4326381295180567e-21,3.3939638996086385e-21,2.8870657379270727e-21
3.5,1.3113123115986166e-21,3.765572642569997e-21,2.5000098009607882e-21
3.75,9.191663502970606e-22,3.668111743732306e-21,2.185877291599824e-21
4.0,8.513560906420964e-22,3.6198045248477196e-21,1.927436865174057e-21
4.25,7.187328960277089e-22,3.3771971907128828e-21,1.712261635344108e-21
4.5,5.5225038950444175e-22,3.5746608023961104e-21,1.5312069294546483e-21
4.75,3.809315824003985e-22,2.7366987380003125e-21,1.3774224028417717e-21
5.0,3.2018526136619367e-22,5.164327786632555e-21,1.2456944123985428e-21
5.25,9.447979028272436e-22,1.2993350413019888e-20,1.1319982400619787e-21
5.5,2.4944689155944622e-21,2.258598408442631e-20,1.0331869844699021e-21
5.75,5.754696667179066e-21,2.6336499204477983e-20,9.46771446885776e-22
6.0,1.0222184800045591e-20,4.2907288392422596e-20,8.707618187489944e-22
6.25,2.9592312389605285e-20,4.765656772255439e-20,8.035521069665051e-22
6.5,6.206111461017372e-20,3.0287326228125875e-20,7.438346024121946e-22
6.75,9.541335105749001e-20,3.020632946139844e-20,6.905357868411604e-22
7.0,1.5320509637572068e-19,5.2872910967091485e-20,6.427677499285666e-22
7.25,1.877781576414597e-19,4.645101756738986e-20,5.997909706063335e-22
7.5,2.597434618937328e-19,7.626866128513599e-20,5.609855231517933e-22
7.75,2.8630266446793433e-19,6.022620346936588e-19,5.258285970259977e-22
8.0,1.9031441598564044e-19,8.177562836136742e-19,4.938767964193056e-22
8.25,1.572988011933743e-19,2.790318728047607e-19,4.647520923874766e-22
8.5,1.6164960525974962e-19,2.064239209981694e-20,4.381305908925906e-22
8.75,1.749087821895999e-19,4.642727747387612e-20,4.1373348966141284e-22
9.0,1.3505404712626778e-19,2.5325761797216472e-20,3.913197496149147e-22
9.25,6.222539234406276e-20,3.298208334073403e-20,3.7068011916607032e-22
9.5,6.804638216529501e-20,5.420302484462598e-20,3.51632233315221e-22
9.75,6.544906349752946e-20,6.271830608963701e-20,3.340165721578713e-22
10.0,2.1193159069277656e-20,2.4578185658917628e-20,3.176931107884276e-22
10.25,1.6944653351044016e-20,1.6537137022079953e-20,3.0253852865360023e-22
10.5,8.589177345276671e-21,1.0735987134090167e-20,2.884438740761787e-22
10.75,1.0157846487254693e-20,1.1108124482806448e-20,2.7531260103800676e-22
11.0,9.860703790803785e-21,8.963558735968061e-21,2.6305891192249233e-22
11.25,5.2770780057137276e-21,6.5541616093653516e-21,2.5160635291120725e-22
11.5,6.032420048372837e-21,5.547021137161151e-21,2.4088661895402307e-22
11.75,6.116904386126391e-21,3.117585135526742e-21,2.3083853332344575e-22
12.0,4.045831344432588e-21,4.348610953062959e-21,2.2140717320108894e-22
12.25,3.971627897445394e-21,4.566611721092805e-21,2.1254311789199807e-22
12.5,3.0967725220484945e-21,4.393754321718233e-21,2.0420180039935748e-22
12.75,3.542693886313953e-21,3.5617138919562165e-21,1.9634294643215592e-22
13.0,5.107993861455065e-21,2.4740876449697818e-21,1.8893008762727552e-22
13.25,8.111073659387103e-21,2.400128915050765e-21,1.8193013797395066e-22
13.5,7.872789154099526e-21,1.948923166152664e-21,1.7531302423325482e-22
13.75,1.5096715850650284e-20,8.058011408585465e-21,1.6905136262724096e-22
14.0,1.9841296318871978e-20,1.31216569533475e-20,1.6312017529395854e-22
14.25,1.172798878413846e-20,5.95187206138773e-21,1.5749664101524762e-22
14.5,4.537583947852192e-21,2.7932539422747157e-21,1.5215987556334418e-22
14.75,2.2276722989267298e-21,2.0121238009135066e-21,1.4709073771141627e-22
15.0,1.783959508871771e-21,2.3890367437012e-21,1.4227165753747213e-22
15.25,1.5071322148257476e-21,2.3652365416718558e-21,1.376864841410335e-22
15.5,1.398500071998962e-21,1.671582075948488e-21,1.3332035030404175e-22
15.75,1.0183173972179795e-21,1.5171436954596755e-21,1.2915955197506835e-22
16.0,1.1321506357036008e-21,1.3730814243122406e-21,1.251914407499601e-22
16.25,1.3097300901931302e-21,1.6929875934465044e-21,1.2140432777149219e-22
16.5,1.3459609806991192e-21,1.5635750142052253e-21,1.177873976827715e-22
16.75,1.3071327439090355e-21,1.2325431970567275e-21,1.1433063145005854e-22
17.0,1.1651259140723177e-21,1.0475843850266984e-21,1.1102473702535058e-22
17.25,1.3576748250860393e-21,1.2013791492480674e-21,1.0786108695161594e-22
17.5,1.2033247302410094e-21,1.1252202550310367e-21,1.0483166212743159e-22
17.75,1.3514947523596923e-21,1.1046374894935494e-21,1.0192900104579739e-22
18.0,1.254867056352149e-21,1.1294714120282555e-21,9.914615390648521e-23
18.25,1.3878183913553994e-21,7.487412135252471e-22,9.647664107441716e-23
18.5,1.6949179238850556e-21,7.191646774829824e-22,9.391441541994357e-23
18.75,1.2744398823466847e-21,7.274726297829364e-22,9.145382813191729e-23
19.0,1.0963034519457855e-21,6.900207675546427e-22,8.908959764233338e-23
19.25,6.811257841820797e-22,6.74868434132328e-22,8.681678134303153e-23
19.5,3.353277666239497e-22,5.5812437435767825e-22,8.46307498113976e-23
19.75,3.597878808590178e-22,6.08517910718806e-22,8.25271632938822e-23
20.0,3.091973984108639e-22,6.750597994594903e-22,8.050195022409239e-23
20.25,2.8394473253945485e-22,6.234923180290097e-22,7.855128757674356e-23
20.5,1.9866183607098327e-22,4.6759238411758055e-22,7.667158288032688e-23
20.75,1.5400532610126216e-22,3.567471474033828e-22,7.485945773034978e-23
21.0,2.132844553963634e-22,3.7947398333204966e-22,7.311173266176738e-23
21.25,1.4826318381578173e-22,4.253860588518996e-22,7.142541325403546e-23
21.5,1.009371834177064e-22,3.0999170908992372e-22,6.979767735532128e-23
21.75,1.2258974670586543e-22,3.566822401776334e-22,6.822586332402568e-23
22.0,1.5282656084004256e-22,3.6319895675650253e-22,6.67074591960788e-23
22.25,1.5645683445897464e-22,2.13329620081875e-22,6.524009269563491e-23
22.5,2.1625719621073555e-22,1.9549379852050802e-22,6.382152201494718e-23
22.75,2.9303037617892543e-22,2.4972945636083377e-22,6.244962729647021e-23
23.0,2.8346274029353053e-21,2.0329426125184934e-22,6.112240275672441e-23
23.25,7.928613536051593e-21,2.2603549979060695e-22,5.983794939725116e-23
23.5,5.351393533643921e-21,2.3402588152527804e-22,5.859446825317118e-23
23.75,8.018089710137205e-21,1.5535404549342828e-22,5.739025413450381e-23
24.0,9.19952591712589e-21,1.342266046441806e-22,5.622368981956797e-23
24.25,2.323315990102481e-21,1.272976981389179e-22,5.509324066352594e-23
24.5,2.575895398880797e-22,1.4468524327545282e-22,5.39974495884919e-23
24.75,1.0632724299179862e-22,1.5171403332091923e-22,5.29349324246519e-23
25.0,6.474482117270598e-23,1.371177792954856e-22,5.1904373574567105e-23
25.25,5.415330787351347e-23,1.5798637945481377e-22,5.090452197528974e-23
25.5,5.668523237504057e-23,1.1084099251717445e-22,4.993418733514006e-23
25.75,6.190645083848794e-23,7.770270898465625e-23,4.899223662399788e-23
26.0,5.172562224062349e-23,8.084367625891621e-23,4.807759079777629e-23
26.25,3.3240502706812243e-23,6.608153323262842e-23,4.718922173938834e-23
26.5,3.568388711445947e-23,7.28959291212863e-23,4.6326149400006003e-23
26.75,4.6593926875302326e-23,9.826633231732021e-23,4.548743912576294e-23
27.0,4.410381374251317e-23,9.006156837115613e-23,4.467219915627855e-23
27.25,5.358854629742649e-23,8.590263418321614e-23,4.3879578282497115e-23
27.5,5.298392873955513e-23,7.751988273080563e-23,4.3108763652350394e-23
27.75,3.585522283717606e-23,6.434890214548068e-23,4.2358978713676204e-23
28.0,3.6758426495346777e-23,6.64829449025112e-23,4.1629481284667926e-23
28.25,3.6921824366211295e-23,7.454565753622792e-23,4.091956174289844e-23
28.5,3.4076001176666504e-23,6.814502699588549e-23,4.0228541324663086e-23
28.75,3.407336757107163e-23,6.067692689654899e-23,3.955577052702779e-23
29.0,1.9014776605762674e-23,6.6968982454947e-23,3.890062760555437e-23
29.25,3.0261831936696e-23,6.534207519791728e-23,3.8262517161211234e-23
29.5,3.150958422038797e-23,5.517060449904611e-23,3.764086881046988e-23
29.75,2.4828539981568039e-23,5.975135753919259e-23,3.703513593303679e-23
30.0,2.3838446599651804e-23,6.467721989475414e-23,3.644479449208462e-23
30.25,2.6403937640760136e-23,5.613096995484878e-23,3.586934192222486e-23
30.5,2.6798491572483255e-23,3.563366505985869e-23,3.5308296080813115e-23
30.75,2.70937061202265e-23,3.945712077934808e-23,3.476119425849814e-23
31.0,2.4321640185519105e-23,4.314472666045644e-23,3.422759224522056e-23
31.25,2.5352343977379892e-23,3.331538531974786e-23,3.370706344813808e-23
31.5,2.641591526425478e-23,3.784954356416259e-23,3.3199198058204384e-23
31.75,2.013339046670331e-23,5.274481944982249e-23,3.270360226235876e-23
32.0,1.496368603695613e-23,4.226925255567876e-23,3.2219897498496055e-23
32.25,2.736144110498706e-23,2.3755519899541835e-23,3.174771975058291e-23
32.5,2.879467033450125e-23,2.9795018081268354e-23,3.128671888146697e-23
32.75,2.318507231717e-23,3.4311433374348994e-23,3.0836558001093356e-23
33.0,1.801615310018482e-23,3.4604385432351274e-23,3.0396912867997567e-23
33.25,1.521375159843092e-23,4.675914093674699e-23,2.9967471322086796e-23
33.5,1.2144879893491592e-23,4.699807696556868e-23,2.9547932746854917e-23
33.75,1.6600251328068646e-23,3.235607149236052e-23,2.913800755929855e-23
34.0,1.9193570672970246e-23,3.716209877204111e-23,2.873741672591597e-23
34.25,1.6719614080122886e-23,4.8544634485362386e-23,2.834589130327615e-23
34.5,1.5103055390881546e-23,2.535528668029923e-23,2.7963172001743045e-23
34.75,1.2559517929129183e-23,4.340290532338324e-23,2.7589008771031534e-23
35.0,1.415135973956611e-23,7.76625395157793e-23,2.722316040635573e-23
35.25,1.3159575182385503e-23,1.9094109340438655e-22,2.6865394174009156e-23
35.5,2.0510147523354155e-23,1.1734159492764819e-21,2.651548545528929e-23
35.75,1.9742327446888556e-23,7.608884436693124e-21,2.6173217407746866e-23
36.0,1.549272342373915e-23,8.68841186061396e-21,2.5838380642804084e-23
36.25,1.1575258689254575e-23,2.2054877706611e-21,2.5510772918844167e-23
36.5,1.2216925365765514e-23,4.062635236461835e-21,2.5190198848930403e-23
36.75,1.636683691623189e-23,6.1075740959207424e-21,2.487646962236346e-23
37.0,1.4765827339498364e-23,2.2160656571478318e-21,2.4569402739334e-23
37.25,1.251652449018303e-23,1.5021146115107868e-22,2.4268821757971956e-23
37.5,1.5466713032197487e-23,5.782642764958317e-23,2.397455605313557e-23
37.75,1.440974513761275e-23,2.664062027969053e-23,2.3686440586322369e-23
38.0,1.5369452233609035e-23,3.00518076968244e-23,2.340431568612033e-23
38.25,1.29963029102351e-23,2.3274234863542385e-23,2.3128026838651787e-23
38.5,1.3325834367789868e-23,2.4859641529550218e-23,2.2857424487494214e-23
38.75,1.442769584589794e-23,3.218828318361015e-23,2.2592363842591926e-23
39.0,1.1912417559609025e-23,2.384465676493331e-23,2.2332704697700645e-23
39.25,9.3727297037969e-24,2.6280758559338102e-23,2.2078311255932733e-23
39.5,8.975516570108053e-24,1.8827350901028887e-23,2.1829051962995762e-23
39.75,1.3203883604232982e-23,1.5781404753126194e-23,2.1584799347739648e-23
40.0,1.086335060580528e-23,2.1860551290415803e-23,2.1345429869649304e-23
40.25,1.1186772460434622e-23,1.6614044284398042e-23,2.111082377293986e-23
40.5,1.3610007819258813e-23,1.83918684255563e-23,2.088086494693047e-23
40.75,1.5841572919395016e-23,2.9831844683374456e-23,2.0655440792390544e-23
41.0,1.7737007943861905e-23,3.3951604760645914e-23,2.0434442093568808e-23
41.25,1.6545471095751663e-23,2.703641757464114e-23,2.021776289563149e-23
41.5,1.4520166239660792e-23,2.816278655625579e-23,2.0005300387250544e-23
41.75,1.2791164486939352e-23,1.983222793489819e-23,1.979695478809675e-23
42.0,1.5228454128562116e-23,1.5422831338658085e-23,1.959262924100555e-23
42.25,1.2998463715744583e-23,1.1260017049040477e-23,1.939222970859592e-23
42.5,1.519170031554713e-23,1.6176810407623644e-23,1.9195664874133842e-23
42.75,1.2597448332642351e-23,2.1627206997049307e-23,1.9002846046443156e-23
43.0,1.445933273791746e-23,1.949515548459849e-23,1.8813687068676685e-23
43.25,1.3164638923348116e-23,2.2111346094234674e-23,1.86281042307701e-23
43.5,1.1074804112526727e-23,2.8987317403628616e-23,1.844601618541039e-23
43.75,7.084927147950435e-24,3.5308457802923655e-23,1.8267343867359114e-23
44.0,1.0529564914283665e-23,4.1106211571437953e-23,1.809201041597889e-23
44.25,1.529262605223099e-23,4.536600882868055e-23,1.7919941100819197e-23
44.5,1.4669257121209898e-23,2.991562655434443e-23,1.7751063250124836e-23
44.75,8.088704001697887e-24,2.489180841439924e-23,1.7585306182137105e-23
45.0,1.0445610982357298e-23,1.8039554341269937e-23,1.7422601139064313e-23
45.25,1.0012085054969587e-23,1.7397085198779643e-23,1.726288122360435e-23
45.5,1.1918742930226151e-23,1.438548935830117e-23,1.7106081337907683e-23
45.75,1.3661290133293664e-23,3.5116219359793563e-23,1.6952138124874728e-23
46.0,8.762433051301813e-24,1.1309052090400934e-22,1.6800989911686635e-23
46.25,1.032244192957467e-23,9.673334628379654e-23,1.665257665547336e-23
46.5,1.2561451737136777e-23,2.3800505949382163e-23,1.6506839891027648e-23
46.75,1.3621226790185855e-23,1.8015292803135535e-23,1.636372268047775e-23
47.0,1.472825227789021e-23,1.2542735385497296e-23,1.622316956483598e-23
47.25,9.098740843546692e-24,1.4402829631525126e-23,1.6085126517344088e-23
47.5,8.838109870475613e-24,1.372157706734593e-23,1.594954089854003e-23
47.75,1.0302580944067228e-23,1.5029957551255157e-23,1.5816361412974495e-23
48.0,1.1451359754323024e-23,1.476246909981643e-23,1.5685538067508637e-23
48.25,1.0629842050575978e-23,1.3404069045547418e-23,1.5557022131127694e-23
48.5,9.945014695457464e-24,1.4276235792228294e-23,1.5430766096208315e-23
48.75,7.602576064038075e-24,1.594970418105449e-23,1.5306723641180085e-23
49.0,7.773501394061399e-24,1.1356279486167994e-23,1.5184849594524534e-23
49.25,1.0679379576632307e-23,1.265247917464942e-23,1.5065099900057492e-23
49.5,1.2648858881658451e-23,1.2963321884939325e-23,1.494743158344306e-23
49.75,8.249346811347445e-24,1.454893386810845e-23,1.4831802719889818e-23
50.0,1.2874232121911984e-23,1.1985100473254693e-23,1.4718172402982049e-23
50.25,1.1421531749786987e-23,1.2247728649827097e-23,1.460650071460089e-23
50.5,7.368565827372463e-24,1.1866205040613576e-23,1.449674869589235e-23
50.75,8.354800435237024e-24,1.0822778578350442e-23,1.4388878319240885e-23
51.0,1.248164953463613e-23,1.6874700660099216e-23,1.428285246120923e-23
51.25,1.1926204703268758e-23,1.744714278047993e-23,1.4178634876406713e-23
51.5,9.160520877823748e-24,1.6087098281644675e-23,1.4076190172250004e-23
51.75,6.368027568752175e-24,1.902290942883547e-23,1.3975483784581815e-23
52.0,1.0525030482369379e-23,1.6724890565085544e-23,1.387648195411451e-23
52.25,1.145582220343474e-23,1.1547862423060717e-23,1.3779151703666972e-23
52.5,9.618829386092759e-24,1.3842923061663656e-23,1.368346081616448e-23
52.75,1.0244564821037046e-23,1.2362353631573436e-23,1.3589377813372613e-23
53.0,1.2584502665840449e-23,8.816862372163604e-24,1.3496871935337344e-23
53.25,8.977219041900576e-24,8.69326708603751e-24,1.3405913120504778e-23
53.5,8.028957315427137e-24,1.2164660075824666e-23,1.331647198649496e-23
53.75,1.1623576497002423e-23,1.4813504359033794e-23,1.3228519811505364e-23
54.0,1.5198696726523747e-23,1.4280820178230518e-23,1.3142028516320587e-23
54.25,1.200296807416639e-23,1.1860342176814521e-23,1.3056970646905801e-23
54.5,8.485574339831438e-24,1.078007703578318e-23,1.2973319357562354e-23
54.75,9.12865090751408e-24,1.3000734963999368e-23,1.289104839462494e-23
55.0,9.241328098906208e-24,1.5061696989744044e-23,1.2810132080680398e-23
55.25,1.0451549184937921e-23,1.628681047230451e-23,1.2730545299289172e-23
55.5,7.53231479238367e-24,1.6394915375646935e-23,1.2652263480191151e-23
55.75,5.599904860146696e-24,1.319690472701451e-23,1.2575262584978316e-23
56.0,1.1125861355049393e-23,1.421912038706463e-23,1.249951909321742e-23
56.25,1.359176884571904e-23,1.7816372495001246e-23,1.242500998900647e-23
56.5,1.1163496328478314e-23,1.860839844478972e-23,1.2351712747949537e-23
56.75,8.588644621248701e-24,1.7204848414687922e-23,1.2279605324534918e-23
57.0,8.613475887059073e-24,1.3878597980301807e-23,1.2208666139902397e-23
57.25,1.0148113255542746e-23,1.4312110355546473e-23,1.2138874069985766e-23
57.5,1.0377275714444742e-23,1.3999563733058246e-23,1.2070208434017409e-23
57.75,1.0277058657818661e-23,1.497230399250221e-23,1.2002648983382228e-23
58.0,1.1469790172313264e-23,2.153506181427238e-23,1.1936175890808676e-23
58.25,1.3790287244363647e-23,2.217359751236016e-23,1.1870769739885155e-23
58.5,1.2741370652002677e-23,1.4438681585747143e-23,1.1806411514890454e-23
58.75,1.0081744266259095e-23,1.7439863780544293e-23,1.1743082590927368e-23
59.0,1.286785569770666e-23,2.1829813248836442e-23,1.1680764724349063e-23
59.25,1.3648130544325155e-23,2.2864211864018348e-23,1.161944004346809e-23
59.5,1.7171851465561984e-23,2.4332324164688045e-23,1.1559091039538378e-23
59.75,1.1174644785604216e-22,3.3546267357752875e-22,1.1499700558000925e-23
60.0,2.147074609113388e-22,6.382573168028836e-22,1.1441251789984207e-23
60.25,1.06653254631016e-22,3.1356461523096507e-22,1.1383728264050633e-23
60.5,1.4809998634327183e-23,1.5358851161872074e-23,1.1327113838180851e-23
60.75,1.1000457579535144e-23,1.2066037798062034e-23,1.1271392691987771e-23
61.0,1.3547409284879334e-23,1.3495408536945083e-23,1.1216549319152753e-23
61.25,1.0030554616326345e-23,1.402182723940274e-23,1.116256852007643e-23
61.5,1.358132935754175e-23,1.455785796013761e-23,1.1109435394737096e-23
61.75,1.5136028470662788e-23,9.233688864485234e-24,1.1057135335749763e-23
62.0,1.0266816577631874e-23,8.463114857467858e-24,1.1005654021619267e-23
62.25,8.749357461698714e-24,1.2663277472814575e-23,1.0954977410181035e-23
62.5,8.897331896753603e-24,1.3609020817593593e-23,1.0905091732223386e-23
62.75,9.16816963425144e-24,1.1330127880435099e-23,1.085598348528542e-23
63.0,7.151762074705732e-24,1.2345201250082926e-23,1.0807639427624807e-23
63.25,7.60669510383176e-24,1.2221384016663058e-23,1.0760046572349956e-23
63.5,1.0250230914973252e-23,1.1036956990018076e-23,1.0713192181711277e-23
63.75,9.53817883868965e-24,1.2087586371856155e-23,1.0667063761546419e-23
64.0,1.0541165451729925e-23,9.572282784455266e-24,1.0621649055874548e-23
64.25,1.12835549892655e-23,9.27424467109047e-24,1.0576936041634925e-23
64.5,1.469420760673475e-23,9.715785866346665e-24,1.0532912923565215e-23
64.75,1.2929382530726029e-23,8.913987077530143e-24,1.0489568129215057e-23
65.0,9.499884658381971e-24,1.2144864568296083e-23,1.0446890304090697e-23
65.25,7.879914895539454e-24,1.2490902260746142e-23,1.0404868306926544e-23
65.5,1.0103044879457883e-23,1.3180091230056726e-23,1.0363491205079667e-23
65.75,1.1317765190481119e-23,1.6349766746244406e-23,1.0322748270043446e-23
66.0,1.1619185469644341e-23,1.3121636099206687e-23,1.0282628973076665e-23
66.25,1.4312490468337266e-23,1.2416916680233825e-23,1.0243122980944481e-23
66.5,1.0866514566205331e-23,1.187799079390164e-23,1.0204220151767847e-23
66.75,8.306294856989961e-24,8.561354434701359e-24,1.0165910530978069e-23
67.0,1.21488472107125e-23,4.4196339827373014e-24,1.0128184347373283e-23
67.25,8.686330499338968e-24,6.624290648071965e-24,1.0091032009273801e-23
67.5,8.876443390807246e-24,6.190001904665921e-24,1.0054444100773277e-23
67.75,1.0162014853171986e-23,8.401976366549678e-24,1.0018411378082888e-23
68.0,9.577141312993598e-24,1.0906083456561258e-23,9.982924765965698e-24
68.25,1.0237544365829245e-23,1.3874133584165806e-23,9.947975354258545e-24
68.5,9.524077463806089e-24,1.4025760670947097e-23,9.913554394478841e-24
68.75,1.0320950144396793e-23,1.0696329985050318e-23,9.879653296513805e-24
69.0,1.2485302907918393e-23,1.2805761908958466e-23,9.846263625389686e-24
69.25,1.2629800452323502e-23,2.235708682347246e-23,9.813377098118662e-24
69.5,8.770890295522045e-24,2.949844097134523e-23,9.78098558062113e-24
69.75,1.045030780058777e-23,1.6282167397959948e-23,9.749081084721239e-24
70.0,1.0446805365319596e-23,1.1310744385925868e-23,9.717655765213539e-24
70.25,1.0987556506451498e-23,1.6353497558380757e-23,9.686701916998703e-24
70.5,9.898584575236275e-24,1.8252606445123482e-23,9.656211972286376e-24
70.75,9.501442892593069e-24,1.4309819084179984e-23,9.626178497863229e-24
71.0,8.668878208039046e-24,1.3905168549893668e-23,9.5965941924244e-24
71.25,8.078495387812962e-24,9.919313973667753e-24,9.567451883966507e-24
71.5,6.878081747113892e-24,1.1700164695075193e-23,9.53874452724056e-24
71.75,5.464404370605115e-24,1.4313475463285547e-23,9.510465201263063e-24
72.0,4.939254826392669e-24,1.4606211984359703e-23,9.482607106883762e-24
72.25,8.396943614474595e-24,1.2498365359241144e-23,9.455163564408391e-24
72.5,1.0677190009263253e-23,9.212346064561775e-24,9.428128011275006e-24
72.75,1.0166627897275825e-23,9.270114102477574e-24,9.40149399978239e-24
73.0,9.622165734607489e-24,1.0468353209354657e-23,9.375255194869148e-24
73.25,7.814273566451649e-24,1.1159038031595304e-23,9.349405371942112e-24
73.5,8.23398713334175e-24,1.2447726131343873e-23,9.323938414752761e-24
73.75,8.252965570869767e-24,1.1872795614407086e-23,9.298848313320351e-24
74.0,9.565981749399607e-24,9.501404987929412e-24,9.274129161900541e-24
74.25,8.952888427884333e-24,1.0475130610489852e-23,9.24977515699831e-24
74.5,8.654870517846578e-24,1.0780641678265899e-23,9.225780595424e-24
74.75,7.994452541351428e-24,1.0305276085472119e-23,9.202139872391371e-24
75.0,9.943155555338973e-24,1.3048390401399147e-23,9.178847479656593e-24
75.25,1.0470574156340448e-23,1.1295134894948808e-23,9.155898003697084e-24
75.5,6.867440427002657e-24,1.1396612498811352e-23,9.133286123929212e-24
75.75,6.179256242790552e-24,1.4140312216169393e-23,9.111006610963864e-24
76.0,7.463992940615058e-24,1.2611249085670687e-23,9.089054324898903e-24
76.25,9.28194456185414e-24,8.547841809901622e-24,9.067424213647612e-24
76.5,9.240533895421814e-24,9.277371574315427e-24,9.046111311302204e-24
76.75,8.640378119979282e-24,8.85679870616343e-24,9.025110736531538e-24
77.0,7.697795348585444e-24,7.335182853996379e-24,9.00441769101219e-24
77.25,6.799654702380491e-24,6.343625063023595e-24,8.984027457892054e-24
77.5,7.066684327962434e-24,1.0663392495498474e-23,8.96393540028569e-24
77.75,6.4115482983892414e-24,1.1502868720823229e-23,8.944136959800623e-24
78.0,6.1144059640329125e-24,8.140853825057102e-24,8.924627655093867e-24
78.25,9.522786131366018e-24,7.078634443944805e-24,8.905403080457942e-24
78.5,1.165561064838345e-23,8.803276495296146e-24,8.886458904435655e-24
78.75,9.537786572079342e-24,7.61215023978171e-24,8.867790868463003e-24
79.0,6.69819809312548e-24,5.147917827546377e-24,8.849394785539477e-24
79.25,8.93368898507321e-24,8.111246627146733e-24,8.831266538925182e-24
79.5,9.792589107802843e-24,1.0507366305634647e-23,8.813402080864085e-24
79.75,5.392208521034799e-24,1.1454826678243274e-23,8.795797431332836e-24
80.0,5.7214489206724986e-24,8.773353927539563e-24,8.778448676814521e-24
80.25,7.784477331266576e-24,9.654615888397687e-24,8.761351969096809e-24
80.5,7.599298585272243e-24,1.1477306729799042e-23,8.744503524093918e-24
80.75,7.984151424461519e-24,9.341332814365987e-24,8.727899620691845e-24
81.0,7.371797598514967e-24,1.1706580986159607e-23,8.711536599616356e-24
81.25,8.389032792943029e-24,1.1095986976828944e-23,8.695410862323198e-24
81.5,9.352863647359586e-24,1.0260270620525457e-23,8.679518869910062e-24
81.75,9.458632688445842e-24,6.540560120819386e-24,8.663857142049761e-24
82.0,7.545574674556023e-24,1.0261782326699434e-23,8.648422255944216e-24
82.25,6.993340223728264e-24,1.067249521098898e-23,8.633210845298726e-24
82.5,1.2046551826097097e-23,1.167638244431172e-23,8.618219599316133e-24
82.75,1.1129998367462538e-23,9.975941908809131e-24,8.603445261710374e-24
83.0,1.3035293972728178e-23,6.331923761273608e-24,8.588884629739085e-24
83.25,9.826076833128583e-24,8.058603043494966e-24,8.574534553254753e-24
83.5,8.436276117931285e-24,7.541798541956585e-24,8.560391933774092e-24
83.75,6.366812522215514e-24,8.657982410078965e-24,8.546453723565179e-24
84.0,8.56132164203152e-24,9.562083809932624e-24,8.532716924752043e-24
84.25,9.34602500826396e-24,8.696272312316442e-24,8.519178588436264e-24
