TimeStamp,LiDAR - 142.5m Wind Speed Mean,LiDAR - 137.5m Wind Speed Mean,LiDAR - 127.5m Wind Speed Mean,LiDAR - 117.5m Wind Speed Mean,LiDAR - 107.5m Wind Speed Mean,LiDAR - 97.5m Wind Speed Mean,LiDAR - 87.5m Wind Speed Mean,LiDAR - 77.5m Wind Speed Mean,LiDAR - 67.5m Wind Speed Mean,LiDAR - 52.5m Wind Speed Mean,Mast - 92.1m Wind Direction Mean,Mast - 96.0m Wind Speed Mean,Mast - 96.0m Wind Speed Std Dev,Mast - 89.1m Wind Speed Mean,Mast - 40.0m Wind Speed Mean,Mast - 96.0m Turbulence Intensity,Turbine Density,Turbine Wind Speed Mean,Turbine Power
07/10/2011 12:50,15.93,15.81,15.69,15.56,15.36,15.18,15.01,14.85,14.6,14.09,294.1,15.5,2.1,15.32,13.59,0.135484,1.128313,15.510002,1996.910019
07/10/2011 13:00,15.6,15.44,15.35,15.21,15.05,14.92,14.77,14.55,14.33,14.17,291.4,15.7,1.92,15.6,14.19,0.122293,1.128232,15.710131,1987.739944
07/10/2011 13:10,17.86,17.79,17.56,17.34,17.02,16.62,16.3,16.06,15.73,15.2,293.8,16.66,2.01,16.49,14.47,0.120648,1.128232,16.67075,1991.90004
07/10/2011 13:20,14.95,14.81,14.62,14.52,14.5,14.52,14.49,14.41,14.25,14.03,293.7,15.2,2.4,15.11,13.46,0.157895,1.128979,15.209808,1987.700012
07/10/2011 13:30,16.21,16.23,15.96,15.65,15.44,15.24,14.95,14.61,14.25,13.78,294.4,15.43,2.11,15.2,13.45,0.136747,1.128979,15.439957,1991.030045
07/10/2011 13:40,14.9,14.76,14.52,14.37,14.26,14.06,13.83,13.66,13.45,13.05,292,14.41,2.15,14.33,12.88,0.149202,1.129685,14.419298,1985.800049
07/10/2011 13:50,15.36,15.23,14.97,14.74,14.55,14.39,14.29,14.2,13.99,13.57,294.1,15.11,2.12,14.98,13.4,0.140304,1.129806,15.11975,1985.759995
07/10/2011 14:00,15.43,15.38,15.25,15.04,14.82,14.56,14.37,14.2,14,13.64,298,14.98,2.12,14.86,13.53,0.141522,1.130241,15.03038,1989.309967
07/10/2011 14:10,16.53,16.38,16.07,15.82,15.6,15.45,15.26,15.09,14.83,14.29,296.5,15.61,2.34,15.38,13.61,0.149904,1.130513,15.662499,1988.300018
07/10/2011 14:30,14.88,14.8,14.66,14.51,14.38,14.3,14.17,13.91,13.62,13.2,298,15,2.07,14.81,12.98,0.138,1.131069,15.050448,1992.320007
07/10/2011 14:40,14.93,14.77,14.57,14.49,14.46,14.44,14.34,14.13,13.92,13.68,298.9,14.4,1.88,14.35,13.21,0.130556,1.131653,14.448429,1962.470001
07/10/2011 14:50,14.44,14.34,14.13,13.9,13.71,13.52,13.27,12.97,12.72,12.14,299.5,13.88,1.77,13.74,12.45,0.127522,1.132047,13.926681,1983.860016
07/10/2011 15:00,13.95,13.84,13.58,13.34,13.2,13,12.7,12.37,12.08,11.67,300.5,13.01,1.65,12.73,11.25,0.126826,1.132522,13.053755,1896.39003
07/10/2011 15:10,13.58,13.46,13.25,13.02,12.76,12.52,12.34,12.19,12.05,11.74,299.8,12.77,1.49,12.67,11.38,0.11668,1.132835,12.812948,1937.409988
07/10/2011 15:20,13.91,13.82,13.54,13.29,13.08,12.81,12.58,12.39,12.17,11.63,300.6,13.34,1.68,13.13,11.65,0.125937,1.132916,13.384865,1954.450027
07/10/2011 15:30,13.46,13.38,13.24,13.12,13.06,12.96,12.8,12.53,12.23,11.8,300,12.93,2.06,12.82,11.32,0.159319,1.133148,12.973486,1972.539948
07/10/2011 15:40,13.22,13.11,12.84,12.51,12.16,11.8,11.5,11.27,11.06,10.66,299.5,12.14,1.62,12.03,10.13,0.133443,1.133501,12.180829,1925.589996
07/10/2011 15:50,12.76,12.6,12.34,12.14,11.96,11.73,11.48,11.28,11.13,10.81,296.2,12.65,1.95,12.52,10.91,0.15415,1.133814,12.692544,1971.470047
07/10/2011 16:00,13.69,13.57,13.32,13.09,12.82,12.55,12.28,12,11.8,11.49,298,13.02,1.56,12.82,11.19,0.119816,1.134534,13.063789,1955.200027
07/10/2011 16:10,14.37,14.25,13.96,13.57,13.21,12.91,12.74,12.6,12.37,11.85,300.4,12.95,1.39,12.77,11.05,0.107336,1.135023,12.993553,1973.789993
07/10/2011 16:20,13.61,13.49,13.25,12.97,12.7,12.38,12.04,11.72,11.46,11.12,300.7,12.45,1.61,12.16,10.76,0.129317,1.13554,12.491871,1911.930023
07/10/2011 16:30,12.77,12.64,12.37,12.07,11.75,11.42,11.14,10.86,10.51,10.12,301.2,12.01,1.46,11.77,10.25,0.121565,1.136016,12.050392,1944.379959
07/10/2011 16:40,12.74,12.55,12.2,11.85,11.57,11.36,11.18,10.94,10.68,10.13,302.6,11.75,1.45,11.52,9.96,0.123404,1.136534,11.789517,1956.449951
07/10/2011 16:50,11.83,11.75,11.59,11.28,10.98,10.74,10.51,10.27,10.01,9.54,302.9,11.43,1.25,11.22,9.9,0.109361,1.136765,11.468441,1934.809937
07/10/2011 17:00,11.89,11.71,11.38,11.07,10.81,10.53,10.18,9.79,9.4,8.88,301.4,10.59,1.18,10.42,8.9,0.111426,1.137078,10.625616,1720.349945
07/10/2011 17:10,11.25,11.12,10.92,10.71,10.47,10.2,9.92,9.66,9.42,9,300.8,10.72,1.24,10.56,9.1,0.115672,1.13735,10.756054,1792.560028
07/10/2011 17:20,11.91,11.76,11.45,11.14,10.81,10.45,10.19,9.93,9.66,9.32,303.6,10.7,1.15,10.49,9.14,0.107477,1.137663,10.735986,1588.300034
07/10/2011 17:30,11.91,11.83,11.61,11.35,11.14,10.92,10.69,10.45,10.17,9.61,303.2,11.12,1.3,10.92,9.3,0.116906,1.138099,11.157398,1715.89003
07/10/2011 17:40,12.07,11.93,11.71,11.43,11.19,10.93,10.65,10.37,10.09,9.47,302.6,11.01,1.16,10.67,8.86,0.105359,1.138467,11.047029,1601.820007
07/10/2011 17:50,11.99,11.82,11.52,11.16,10.74,10.31,9.93,9.61,9.31,8.83,303.9,10.81,1.3,10.45,8.88,0.120259,1.139272,10.846356,1881.109985
07/10/2011 18:00,12.29,12.1,11.75,11.42,11.02,10.6,10.31,10.03,9.7,9.2,302.8,10.84,1.29,10.55,8.98,0.119004,1.139914,10.876457,1806.059982
07/10/2011 18:10,12.12,12.01,11.77,11.53,11.33,11.08,10.76,10.37,9.98,9.46,301.4,11.09,1.16,10.82,9.03,0.104599,1.140473,11.127298,1670.879974
07/10/2011 18:20,11.17,11,10.7,10.44,10.16,9.77,9.34,8.96,8.7,8.38,301.5,10.15,1.14,9.89,8.37,0.112315,1.141347,10.184136,1461.350052
