UTC,active_power,wind_speed
30/09/2017 18:26,14,4.02
30/09/2017 18:56,14,4.02
30/09/2017 19:26,14,4.02
30/09/2017 19:56,14,4.02
30/09/2017 20:26,14,4.02
30/09/2017 20:56,14,4.02
30/09/2017 21:26,14,4.02
30/09/2017 21:56,14,4.02
30/09/2017 22:26,14,4.02
30/09/2017 22:56,14,4.02
30/09/2017 23:26,14,4.02
30/09/2017 23:56,14,4.02
01/10/2017 00:26,68,4.396666667
01/10/2017 00:56,112.5,3.69
01/10/2017 01:26,238,4.67
01/10/2017 01:56,494,7.14
01/10/2017 02:26,562,5.37
01/10/2017 02:56,694,6.81
01/10/2017 03:26,540,6.975
01/10/2017 03:56,1025,7.47
01/10/2017 04:26,785,7.015
01/10/2017 04:56,871,6.07
01/10/2017 05:26,519,6.07
01/10/2017 05:56,763,6.52
01/10/2017 06:26,602,7.06
01/10/2017 06:56,483,6.786666667
01/10/2017 07:26,407,5
01/10/2017 07:56,777,6.81
01/10/2017 08:26,1070,6.976666667
01/10/2017 08:56,734,7.06
01/10/2017 09:26,689,6.03
01/10/2017 09:56,551,7.47
01/10/2017 10:26,3,8.46
01/10/2017 10:56,3,8.665
01/10/2017 11:26,3,9.955
01/10/2017 11:56,3,8.42
01/10/2017 12:26,-6,9.94
01/10/2017 12:56,6,13.825
01/10/2017 13:26,-2.5,17.415
01/10/2017 13:56,-7,18.81
01/10/2017 14:26,8,15.09
01/10/2017 14:56,8,18.16
01/10/2017 15:26,8,17.32
01/10/2017 15:56,8,17.65
01/10/2017 16:26,8,18.625
01/10/2017 16:56,8,13.05
01/10/2017 17:26,8,13.97666667
01/10/2017 17:56,8,17.09
01/10/2017 18:26,8,15.665
01/10/2017 18:56,8,13.8
01/10/2017 19:26,8,15.495
01/10/2017 19:56,8,13.935
01/10/2017 20:26,8,13.935
01/10/2017 20:56,8,16.58
01/10/2017 21:26,8,17.51
01/10/2017 21:56,4,16.72
01/10/2017 22:26,4,15.48
01/10/2017 22:56,4,15.03666667
01/10/2017 23:26,4,15.19
01/10/2017 23:56,4,10.825
02/10/2017 00:26,4,18.39
02/10/2017 00:56,4,15.465
02/10/2017 01:26,-3,15.575
02/10/2017 01:56,-3,15.65
02/10/2017 02:26,-3,15.84
02/10/2017 02:56,-3,15.745
02/10/2017 03:26,-3,16.3
02/10/2017 03:56,-3,17.275
02/10/2017 04:26,-3,17.04
02/10/2017 04:56,-3,15.16
02/10/2017 05:26,-3,17.605
02/10/2017 05:56,2316,16.905
02/10/2017 06:26,2319,16.675
02/10/2017 06:56,2341,15.555
02/10/2017 07:26,2281,15.6
02/10/2017 07:56,2359,18.765
02/10/2017 08:26,2302,17.605
02/10/2017 08:56,2215,19.625
02/10/2017 09:26,-9,17.04
02/10/2017 09:56,-9,18.585
02/10/2017 10:26,32.5,17.35333333
02/10/2017 10:56,26,19.09
02/10/2017 11:26,26,16.58
02/10/2017 11:56,14,19.545
02/10/2017 12:26,14,14.05
02/10/2017 12:56,14,15.17
02/10/2017 13:26,14,12.815
02/10/2017 13:56,14,14
02/10/2017 14:26,14,13.165
02/10/2017 14:56,14,11.095
02/10/2017 15:26,14,7.97
02/10/2017 15:56,-1,6.98
02/10/2017 16:26,1390,7.51
02/10/2017 16:56,2088.333333,11.02
02/10/2017 17:26,1104,8.665
02/10/2017 17:56,1889,11.75
02/10/2017 18:26,1246,8.665
02/10/2017 18:56,813,9.24
02/10/2017 19:26,343,8.915
02/10/2017 19:56,343,8.13
02/10/2017 20:26,7,9.16
02/10/2017 20:56,7,9.285
02/10/2017 21:26,7,7.965
02/10/2017 21:56,7,7.72
02/10/2017 22:26,7,8.795
02/10/2017 22:56,2,8.79
02/10/2017 23:26,2,9.365
02/10/2017 23:56,2,11.16
03/10/2017 00:26,2,9.86
03/10/2017 00:56,2,9.97
03/10/2017 01:26,2,10.26
03/10/2017 01:56,2,12.04
03/10/2017 02:26,2,12.755
03/10/2017 02:56,2,12.81
03/10/2017 03:26,2,10.105
03/10/2017 03:56,2,7.88
03/10/2017 04:26,96,10.34
03/10/2017 04:56,6,6.65
03/10/2017 05:26,43,7.47
03/10/2017 05:56,32,8.62
03/10/2017 06:26,924,6.48
03/10/2017 06:56,895,6.73
03/10/2017 07:26,1264,8.83
03/10/2017 07:56,1860.5,9.28
03/10/2017 08:26,2306,12.045
03/10/2017 08:56,2360,12.46
03/10/2017 09:26,1660,7.68
03/10/2017 09:56,1587.5,8.71
03/10/2017 10:26,1232,8.05
03/10/2017 10:56,2170,11.87
03/10/2017 11:26,612,7.22
03/10/2017 11:56,2305,12.695
03/10/2017 12:26,1279,8.87
03/10/2017 12:56,2278,12.4
03/10/2017 13:26,1231.5,8.953333333
03/10/2017 13:56,1059,6.98
03/10/2017 14:26,1536,9.885
03/10/2017 14:56,2072,10.86
03/10/2017 15:26,1941.333333,9.336666667
03/10/2017 15:56,1296,8.76
